,old
3,"发布于 Jul 26, 2021更新于 Dec 18, 2023OKX to adjust spot and margin trading tick sizes"
4,"发布于 Jul 23, 2021更新于 Dec 15, 2023OKX to Enable Margin Trading and Savings for KAR"
0,"发布于 Aug 25, 2022更新于 Dec 18, 2023OKX to Enable USDC-Margin Trading for BTC"
1,"发布于 Feb 11, 2022更新于 Dec 15, 2023Delisting of trading pairs – fifteenth batch"
2,"发布于 Aug 6, 2021更新于 Dec 15, 2023OKX to Enable Margin Trading and Savings for CLV"
3,"发布于 Jul 26, 2021更新于 Dec 18, 2023OKX to adjust spot and margin trading tick sizes"
4,"发布于 Jul 23, 2021更新于 Dec 15, 2023OKX to Enable Margin Trading and Savings for KAR"
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for Certain P...
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for Certain P...
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for Certain P...
0,"🔥 15 New Assets for Margin Trading, Crypto Loans & Lending!"
1,"mETH on Bybit: Added as New Margin Trading Collateral, Stake for 7% APY"
0,"🔥 15 New Assets for Margin Trading, Crypto Loans & Lending!"
1,"mETH on Bybit: Added as New Margin Trading Collateral, Stake for 7% APY"
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for PEPE2 Per...
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for PEPE2 Per...
0,Gate.io Will Adjust Risk Limit and Corresponding Maintenance and Initial Margin Levels for PEPE2 Per...
0,"Gate.io Has Added AI, DUEL and More on Isolated Margin"
0,"Gate.io Has Added AI, DUEL and More on Isolated Margin"
0,"Gate.io Has Added AI, DUEL and More on Isolated Margin"
0,Gate.io Has Added Manta Network (MANTA)  Perpetual Contract (USDT Margin)
0,Gate.io Has Added Manta Network (MANTA)  Perpetual Contract (USDT Margin)
0,Gate.io Has Added Manta Network (MANTA)  Perpetual Contract (USDT Margin)
0,"Gate.io Has Added MANTA, MAV and More on Isolated Margin"
0,"Gate.io Has Added MANTA, MAV and More on Isolated Margin"
0,"Gate.io Has Added MANTA, MAV and More on Isolated Margin"
